    0.10000E-03    0.32301E+03
    0.10202E-03    0.32929E+03
    0.10408E-03    0.33569E+03
    0.10618E-03    0.34221E+03
    0.10833E-03    0.34885E+03
    0.11052E-03    0.35563E+03
    0.11275E-03    0.36254E+03
    0.11503E-03    0.36958E+03
    0.11735E-03    0.37676E+03
    0.11972E-03    0.38408E+03
    0.12214E-03    0.39154E+03
    0.12461E-03    0.39914E+03
    0.12712E-03    0.40689E+03
    0.12969E-03    0.41480E+03
    0.13231E-03    0.42285E+03
    0.13499E-03    0.43107E+03
    0.13771E-03    0.43944E+03
    0.14049E-03    0.44797E+03
    0.14333E-03    0.45667E+03
    0.14623E-03    0.46554E+03
    0.14918E-03    0.47458E+03
    0.15220E-03    0.48379E+03
    0.15527E-03    0.49319E+03
    0.15841E-03    0.50276E+03
    0.16161E-03    0.51252E+03
    0.16487E-03    0.52247E+03
    0.16820E-03    0.53262E+03
    0.17160E-03    0.54295E+03
    0.17507E-03    0.55349E+03
    0.17860E-03    0.56424E+03
    0.18221E-03    0.57519E+03
    0.18589E-03    0.58635E+03
    0.18965E-03    0.59773E+03
    0.19348E-03    0.60933E+03
    0.19739E-03    0.62116E+03
    0.20138E-03    0.63321E+03
    0.20544E-03    0.64550E+03
    0.20959E-03    0.65802E+03
    0.21383E-03    0.67079E+03
    0.21815E-03    0.68380E+03
    0.22255E-03    0.69707E+03
    0.22705E-03    0.71059E+03
    0.23164E-03    0.72437E+03
    0.23632E-03    0.73842E+03
    0.24109E-03    0.75273E+03
    0.24596E-03    0.76733E+03
    0.25093E-03    0.78221E+03
    0.25600E-03    0.79737E+03
    0.26117E-03    0.81283E+03
    0.26645E-03    0.82858E+03
    0.27183E-03    0.84464E+03
    0.27732E-03    0.86101E+03
    0.28292E-03    0.87769E+03
    0.28864E-03    0.89470E+03
    0.29447E-03    0.91203E+03
    0.30042E-03    0.92969E+03
    0.30649E-03    0.94770E+03
    0.31268E-03    0.96605E+03
    0.31899E-03    0.98475E+03
    0.32544E-03    0.10038E+04
    0.33201E-03    0.10232E+04
    0.33872E-03    0.10430E+04
    0.34556E-03    0.10632E+04
    0.35254E-03    0.10838E+04
    0.35966E-03    0.11048E+04
    0.36693E-03    0.11261E+04
    0.37434E-03    0.11479E+04
    0.38190E-03    0.11701E+04
    0.38962E-03    0.11927E+04
    0.39749E-03    0.12158E+04
    0.40552E-03    0.12392E+04
    0.41371E-03    0.12632E+04
    0.42207E-03    0.12876E+04
    0.43060E-03    0.13124E+04
    0.43929E-03    0.13378E+04
    0.44817E-03    0.13636E+04
    0.45722E-03    0.13899E+04
    0.46646E-03    0.14167E+04
    0.47588E-03    0.14440E+04
    0.48550E-03    0.14718E+04
    0.49530E-03    0.15002E+04
    0.50531E-03    0.15291E+04
    0.51552E-03    0.15585E+04
    0.52593E-03    0.15885E+04
    0.53656E-03    0.16191E+04
    0.54739E-03    0.16502E+04
    0.55845E-03    0.16819E+04
    0.56973E-03    0.17143E+04
    0.58124E-03    0.17472E+04
    0.59299E-03    0.17808E+04
    0.60496E-03    0.18149E+04
    0.61719E-03    0.18498E+04
    0.62965E-03    0.18852E+04
    0.64237E-03    0.19214E+04
    0.65535E-03    0.19582E+04
    0.66859E-03    0.19957E+04
    0.68210E-03    0.20339E+04
    0.69588E-03    0.20728E+04
    0.70993E-03    0.21124E+04
    0.72427E-03    0.21528E+04
    0.73891E-03    0.21939E+04
    0.75383E-03    0.22358E+04
    0.76906E-03    0.22784E+04
    0.78460E-03    0.23219E+04
    0.80045E-03    0.23661E+04
    0.81662E-03    0.24111E+04
    0.83311E-03    0.24570E+04
    0.84994E-03    0.25037E+04
    0.86711E-03    0.25513E+04
    0.88463E-03    0.25997E+04
    0.90250E-03    0.26490E+04
    0.92073E-03    0.26992E+04
    0.93933E-03    0.27503E+04
    0.95831E-03    0.28023E+04
    0.97767E-03    0.28553E+04
    0.99742E-03    0.29092E+04
    0.10176E-02    0.29641E+04
    0.10381E-02    0.30200E+04
    0.10591E-02    0.30769E+04
    0.10805E-02    0.31348E+04
    0.11023E-02    0.31937E+04
    0.11246E-02    0.32536E+04
    0.11473E-02    0.33147E+04
    0.11705E-02    0.33767E+04
    0.11941E-02    0.34399E+04
    0.12182E-02    0.35042E+04
    0.12429E-02    0.35696E+04
    0.12680E-02    0.36361E+04
    0.12936E-02    0.37038E+04
    0.13197E-02    0.37727E+04
    0.13464E-02    0.38427E+04
    0.13736E-02    0.39140E+04
    0.14013E-02    0.39864E+04
    0.14296E-02    0.40601E+04
    0.14585E-02    0.41351E+04
    0.14880E-02    0.42113E+04
    0.15180E-02    0.42887E+04
    0.15487E-02    0.43675E+04
    0.15800E-02    0.44476E+04
    0.16119E-02    0.45290E+04
    0.16445E-02    0.46117E+04
    0.16777E-02    0.46958E+04
    0.17116E-02    0.47813E+04
    0.17462E-02    0.48681E+04
    0.17814E-02    0.49564E+04
    0.18174E-02    0.50460E+04
    0.18541E-02    0.51371E+04
    0.18916E-02    0.52296E+04
    0.19298E-02    0.53236E+04
    0.19688E-02    0.54190E+04
    0.20086E-02    0.55159E+04
    0.20491E-02    0.56143E+04
    0.20905E-02    0.57143E+04
    0.21328E-02    0.58157E+04
    0.21758E-02    0.59186E+04
    0.22198E-02    0.60231E+04
    0.22646E-02    0.61291E+04
    0.23104E-02    0.62367E+04
    0.23571E-02    0.63459E+04
    0.24047E-02    0.64566E+04
    0.24533E-02    0.65689E+04
    0.25028E-02    0.66828E+04
    0.25534E-02    0.67983E+04
    0.26050E-02    0.69154E+04
    0.26576E-02    0.70341E+04
    0.27113E-02    0.71544E+04
    0.27660E-02    0.72763E+04
    0.28219E-02    0.73999E+04
    0.28789E-02    0.75250E+04
    0.29371E-02    0.76518E+04
    0.29964E-02    0.77802E+04
    0.30569E-02    0.79102E+04
    0.31187E-02    0.80418E+04
    0.31817E-02    0.81750E+04
    0.32460E-02    0.83099E+04
    0.33115E-02    0.84463E+04
    0.33784E-02    0.85844E+04
    0.34467E-02    0.87240E+04
    0.35163E-02    0.88651E+04
    0.35874E-02    0.90079E+04
    0.36598E-02    0.91521E+04
    0.37338E-02    0.92980E+04
    0.38092E-02    0.94454E+04
    0.38861E-02    0.95944E+04
    0.39646E-02    0.97449E+04
    0.40447E-02    0.98968E+04
    0.41264E-02    0.10050E+05
    0.42098E-02    0.10204E+05
    0.42948E-02    0.10360E+05
    0.43816E-02    0.10517E+05
